Job Title,Job Description,Job Link
Seeking digital artists / designers to join new marketplace,"QR Code Link to This Post


Sell Your Artwork as Digital Downloads and Stickers

With biweekly payouts, no hidden fees, competitive commission tiers, and exclusive benefits, Decal Venue is the perfect place to turn your passion into profit.

Help us grow our marketplace by joining:

https://www.decalvenue.com/pages/become-a-seller

🎨 Sell Your Artwork as Digital Downloads and Stickers: Showcase your talent and earn commissions by selling digital downloads and sticker packs of your designs.

💰 Competitive Commission Tiers: Earn a commission based on the price of your products. The higher the price, the higher your commission rate! Our commission tiers range from 35% to an impressive 60%.

💸 No Hidden Fees: We believe in transparency and fairness. That's why we don't charge any transaction fees, listing fees, advertising fees, subscription fees, or payment processing fees. Your profits are truly yours to keep.

💵 Bi-weekly Payouts: Get paid every two weeks, with a low $5 minimum payout threshold. It's a great way to generate passive income and see the fruits of your creativity.

🌟 Legacy Status Benefits: Achieve $500 in total commissions and unlock our exclusive Legacy Status. As a Legacy Status member, you'll enjoy even higher commission rates on digital downloads and stickers.

🖼️ Express Your Artistic Talent: Decal Venue is the perfect platform to express your artistic talent and share your creativity with the world. Whether you're an illustrator, graphic designer, photographer, or any other type of artist, you'll find a welcoming community here.

🎉 Hassle-Free Print-on-Demand Service: For sticker products, we offer a convenient print-on-demand service. Simply upload your designs, and we'll handle the printing and shipping process. No more worries about managing physical inventory!

💡 Your Worth, Your Choice: Set your own prices for your digital downloads (with a minimum price requirement of $1.99) and let your artistic vision shine. Your designs have value, and we want you to determine their worth.

Ready to join Decal Venue and start earning from your creativity? Sign up now and embark on an exciting journey as an artist entrepreneur! Visit our website for more information and answers to frequently asked questions.

https://www.decalvenue.com/pages/become-a-seller",https://pittsburgh.craigslist.org/crg/d/carnegie-seeking-digital-artists/7719457263.html
High Cholesterol Studies,"QR Code Link to This Post


 High Cholesterol Study research study participants needed
-Over the age of 18
-On a Statin
-History of a major ASVD event

 Sign Up Now

SIGN UP by clicking below!

Click to Learn More",https://chicago.craigslist.org/nwc/crg/d/chicago-high-cholesterol-studies/7719360678.html
High Cholesterol Studies,"QR Code Link to This Post


 High Cholesterol Study research study participants needed
-Over the age of 18
-On a Statin
-History of a major ASVD event

 Sign Up Now

SIGN UP by clicking below!

Click to Learn More",https://chicago.craigslist.org/chc/crg/d/chicago-high-cholesterol-studies/7719340281.html
High Cholesterol Studies,"QR Code Link to This Post


 High Cholesterol Study research study participants needed
-Over the age of 18
-On a Statin
-History of a major ASVD event

 Sign Up Now

SIGN UP by clicking below!

Click to Learn More",https://cincinnati.craigslist.org/crg/d/addyston-high-cholesterol-studies/7719334532.html
High Cholesterol Studies,"QR Code Link to This Post


 High Cholesterol Study research study participants needed
-Over the age of 18
-On a Statin
-History of a major ASVD event

 Sign Up Now

SIGN UP by clicking below!

Click to Learn More",https://chicago.craigslist.org/chc/crg/d/chicago-high-cholesterol-studies/7719327325.html
High Cholesterol Studies,"QR Code Link to This Post


 High Cholesterol Study research study participants needed
-Over the age of 18
-On a Statin
-History of a major ASVD event

 Sign Up Now

SIGN UP by clicking below!

Click to Learn More",https://chicago.craigslist.org/chc/crg/d/chicago-high-cholesterol-studies/7719240778.html
EXPIERENCED Lifeline Field Reps Earn up to $29.25 per activation,"QR Code Link to This Post


We are looking for Experienced Field Agents to give away Free Government Phones.

We are a New Company to the area and paying excellent weekly pay!!

Pay week is Monday thru Sunday and you get paid the next Wednesday!

Pay is based on a point system with the opportunity to earn $29.25 per activation.

We will be giving away 6.8-inch Vortex Phones with case!! Unlimited Talk, Text, Data, 2 Cameras and a Case

Qualifications:
Experience in the Lifeline Field Agent (Verified)
Clean Criminal Background Check past 7 years
Strive to provide the best customer service to your customers.
Able to find places to set up to give away phones!!

To start the Onboarding process, you must send email to receive a JotForm for Onboarding.
We then will contact you for a phone interview.
We also will conduct a face-to-face interview. (Individually or with a Group)
We then send the onboarding information in, and this takes usually 3 to 5 days to complete and the training.
Once complete we will have a Group Training and Questions and Answers.

We are only hiring the Best of the Best for Indy and the Surrounding areas.

So, if interested please respond with your name, email and phone number and we will send out the onboarding JotForm to schedule a phone interview.

We have been in the Area now for over 4 years with over 10 years' experience in multiple states.

We look forward to hearing back from you.",https://indianapolis.craigslist.org/crg/d/indianapolis-expierenced-lifeline-field/7719174536.html
High Cholesterol Studies,"QR Code Link to This Post


 High Cholesterol Study research study participants needed
-Over the age of 18
-On a Statin
-History of a major ASVD event

 Sign Up Now

SIGN UP by clicking below!

Click to Learn More",https://chicago.craigslist.org/nwc/crg/d/chicago-high-cholesterol-studies/7719360678.html
High Cholesterol Studies,"QR Code Link to This Post


 High Cholesterol Study research study participants needed
-Over the age of 18
-On a Statin
-History of a major ASVD event

 Sign Up Now

SIGN UP by clicking below!

Click to Learn More",https://chicago.craigslist.org/chc/crg/d/chicago-high-cholesterol-studies/7719340281.html
High Cholesterol Studies,"QR Code Link to This Post


 High Cholesterol Study research study participants needed
-Over the age of 18
-On a Statin
-History of a major ASVD event

 Sign Up Now

SIGN UP by clicking below!

Click to Learn More",https://cincinnati.craigslist.org/crg/d/addyston-high-cholesterol-studies/7719334532.html
